           TimeStamp                         FileName   Filter   Camera   Nx  Ny  Nz   Int/ms  Coadd CountsPerCoadd    Temp1/K  Temp2/K
 2014-11-08T22:17:14                        test00001  Blocked   Narrow 1024 512   0      280      1           6075  53.3300  77.9780
 2014-11-08T22:18:08                        test00002  Blocked   Narrow 1024 512   0      280      1           6074  53.3300  77.9780
 2014-11-09T09:16:18                       Darks00001  Blocked   Narrow  400 200   0       43     10           5758  53.3070  78.1180
 2014-11-09T09:16:19                       Darks00002  Blocked   Narrow  400 200   0       43     10           5830  53.3070  78.1180
 2014-11-09T09:16:21                       Darks00003  Blocked   Narrow  400 200   0       43     10           5871  53.3070  78.1180
 2014-11-09T09:16:22                       Darks00004  Blocked   Narrow  400 200   0       43     10           5895  53.3070  78.1180
 2014-11-09T09:16:23                       Darks00005  Blocked   Narrow  400 200   0       43     10           5907  53.3070  78.1180
 2014-11-09T09:16:24                       Darks00006  Blocked   Narrow  400 200   0       43     10           5917  53.3070  78.1180
 2014-11-09T09:16:26                       Darks00007  Blocked   Narrow  400 200   0       43     10           5921  53.3070  78.1180
 2014-11-09T09:16:27                       Darks00008  Blocked   Narrow  400 200   0       43     10           5923  53.3070  78.1180
 2014-11-09T09:16:28                       Darks00009  Blocked   Narrow  400 200   0       43     10           5919  53.3070  78.1180
 2014-11-09T09:16:29                       Darks00010  Blocked   Narrow  400 200   0       43     10           5920  53.3070  78.1180
 2014-11-09T09:16:42                       Darks00011  Blocked   Narrow 1024 300   0      164     10           5478  53.3070  78.1180
 2014-11-09T09:16:46                       Darks00012  Blocked   Narrow 1024 300   0      164     10           5567  53.3070  78.1180
 2014-11-09T09:16:50                       Darks00013  Blocked   Narrow 1024 300   0      164     10           5584  53.3110  78.1240
 2014-11-09T09:16:53                       Darks00014  Blocked   Narrow 1024 300   0      164     10           5582  53.3110  78.1240
 2014-11-09T09:16:57                       Darks00015  Blocked   Narrow 1024 300   0      164     10           5577  53.3110  78.1240
 2014-11-09T09:17:01                       Darks00016  Blocked   Narrow 1024 300   0      164     10           5571  53.3110  78.1240
 2014-11-09T09:17:05                       Darks00017  Blocked   Narrow 1024 300   0      164     10           5566  53.3110  78.1240
 2014-11-09T09:17:08                       Darks00018  Blocked   Narrow 1024 300   0      164     10           5561  53.3110  78.1240
 2014-11-09T09:17:12                       Darks00019  Blocked   Narrow 1024 300   0      164     10           5556  53.3110  78.1240
 2014-11-09T09:17:16                       Darks00020  Blocked   Narrow 1024 300   0      164     10           5551  53.3110  78.1240
 2014-11-09T09:17:39                       Darks00021  Blocked   Narrow 1024 300   0      164     40           5522  53.3110  78.1240
 2014-11-09T09:17:53                       Darks00022  Blocked   Narrow 1024 300   0      164     40           5539  53.3090  78.1270
 2014-11-09T09:18:07                       Darks00023  Blocked   Narrow 1024 300   0      164     40           5519  53.3090  78.1270
 2014-11-09T09:18:21                       Darks00024  Blocked   Narrow 1024 300   0      164     40           5502  53.3090  78.1270
 2014-11-09T09:18:35                       Darks00025  Blocked   Narrow 1024 300   0      164     40           5489  53.3090  78.1270
 2014-11-09T09:18:49                       Darks00026  Blocked   Narrow 1024 300   0      164     40           5473  53.3090  78.1270
 2014-11-09T09:19:04                       Darks00027  Blocked   Narrow 1024 300   0      164     40           5460  53.3110  78.1300
 2014-11-09T09:19:18                       Darks00028  Blocked   Narrow 1024 300   0      164     40           5447  53.3110  78.1300
 2014-11-09T09:19:32                       Darks00029  Blocked   Narrow 1024 300   0      164     40           5430  53.3110  78.1300
 2014-11-09T09:19:46                       Darks00030  Blocked   Narrow 1024 300   0      164     40           5413  53.3110  78.1300
 2014-11-09T09:19:56                       Darks00031  Blocked   Narrow 1024 512   0      280      1           5266  53.3080  78.1320
 2014-11-09T09:19:57                       Darks00032  Blocked   Narrow 1024 512   0      280      1           5289  53.3080  78.1320
 2014-11-09T09:19:58                       Darks00033  Blocked   Narrow 1024 512   0      280      1           5317  53.3080  78.1320
 2014-11-09T09:19:59                       Darks00035  Blocked   Narrow 1024 512   0      280      1           5354  53.3080  78.1320
 2014-11-09T09:19:59                       Darks00034  Blocked   Narrow 1024 512   0      280      1           5339  53.3080  78.1320
 2014-11-09T09:20:00                       Darks00036  Blocked   Narrow 1024 512   0      280      1           5363  53.3080  78.1320
 2014-11-09T09:20:01                       Darks00037  Blocked   Narrow 1024 512   0      280      1           5372  53.3080  78.1320
 2014-11-09T09:20:02                       Darks00038  Blocked   Narrow 1024 512   0      280      1           5377  53.3080  78.1320
 2014-11-09T09:20:03                       Darks00039  Blocked   Narrow 1024 512   0      280      1           5383  53.3080  78.1320
 2014-11-09T09:20:04                       Darks00040  Blocked   Narrow 1024 512   0      280      1           5386  53.3080  78.1320
 2014-11-09T09:20:15                       Darks00041  Blocked   Narrow 1024 512   0      280      4           5325  53.3080  78.1320
 2014-11-09T09:20:18                       Darks00042  Blocked   Narrow 1024 512   0      280      4           5406  53.3080  78.1320
 2014-11-09T09:20:20                       Darks00043  Blocked   Narrow 1024 512   0      280      4           5435  53.3080  78.1320
 2014-11-09T09:20:23                       Darks00044  Blocked   Narrow 1024 512   0      280      4           5445  53.3080  78.1320
 2014-11-09T09:20:26                       Darks00045  Blocked   Narrow 1024 512   0      280      4           5441  53.3080  78.1320
 2014-11-09T09:20:28                       Darks00046  Blocked   Narrow 1024 512   0      280      4           5444  53.3080  78.1320
 2014-11-09T09:20:31                       Darks00047  Blocked   Narrow 1024 512   0      280      4           5443  53.3080  78.1320
 2014-11-09T09:20:34                       Darks00048  Blocked   Narrow 1024 512   0      280      4           5440  53.3080  78.1320
 2014-11-09T09:20:36                       Darks00049  Blocked   Narrow 1024 512   0      280      4           5433  53.3080  78.1320
 2014-11-09T09:20:39                       Darks00050  Blocked   Narrow 1024 512   0      280      4           5435  53.3080  78.1320
 2014-11-09T09:21:00                       Darks00051  Blocked   Narrow 1024 512   0      280     20           5419  53.3100  78.1400
