           TimeStamp                         FileName   Filter   Camera   Nx  Ny  Nz   Int/ms  Coadd CountsPerCoadd  Temp1/K  Temp2/K
 2014-11-16T22:31:53                        test00001  Blocked   Narrow 1024 512   0      280      1           5880  53.2840  77.9330
 2014-11-16T22:32:00                        test00002  Blocked   Narrow 1024 512   0      280      1           5882  53.2840  77.9330
 2014-11-16T22:33:37                        test00003  Blocked   Narrow 1024 512   0      280      1           5876  53.2850  77.9330
 2014-11-17T09:22:03                       Darks00001  Blocked   Narrow  400 200  50       43      1           5475  53.3250  77.9250
 2014-11-17T09:22:09                       Darks00002  Blocked   Narrow  400 200  50       43      1           5547  53.3250  77.9250
 2014-11-17T09:22:14                       Darks00003  Blocked   Narrow  400 200  50       43      1           5550  53.3250  77.9250
 2014-11-17T09:22:20                       Darks00004  Blocked   Narrow  400 200  50       43      1           5538  53.3250  77.9250
 2014-11-17T09:22:25                       Darks00005  Blocked   Narrow  400 200  50       43      1           5533  53.3250  77.9250
 2014-11-17T09:22:31                       Darks00006  Blocked   Narrow  400 200  50       43      1           5523  53.3250  77.9250
 2014-11-17T09:22:36                       Darks00007  Blocked   Narrow  400 200  50       43      1           5522  53.3250  77.9250
 2014-11-17T09:22:42                       Darks00008  Blocked   Narrow  400 200  50       43      1           5509  53.3250  77.9250
 2014-11-17T09:22:47                       Darks00009  Blocked   Narrow  400 200  50       43      1           5504  53.3250  77.9250
 2014-11-17T09:22:53                       Darks00010  Blocked   Narrow  400 200  50       43      1           5505  53.2650  77.9470
 2014-11-17T09:23:04                       Darks00011  Blocked   Narrow 1024 512   0      280      1           5004  53.2650  77.9470
 2014-11-17T09:23:05                       Darks00012  Blocked   Narrow 1024 512   0      280      1           5047  53.2650  77.9470
 2014-11-17T09:23:06                       Darks00013  Blocked   Narrow 1024 512   0      280      1           5076  53.2650  77.9470
 2014-11-17T09:23:07                       Darks00014  Blocked   Narrow 1024 512   0      280      1           5097  53.2650  77.9470
 2014-11-17T09:23:08                       Darks00015  Blocked   Narrow 1024 512   0      280      1           5106  53.2650  77.9470
 2014-11-17T09:23:09                       Darks00016  Blocked   Narrow 1024 512   0      280      1           5117  53.2650  77.9470
 2014-11-17T09:23:10                       Darks00018  Blocked   Narrow 1024 512   0      280      1           5132  53.2650  77.9470
 2014-11-17T09:23:10                       Darks00017  Blocked   Narrow 1024 512   0      280      1           5125  53.2650  77.9470
 2014-11-17T09:23:11                       Darks00019  Blocked   Narrow 1024 512   0      280      1           5136  53.2650  77.9470
 2014-11-17T09:23:12                       Darks00020  Blocked   Narrow 1024 512   0      280      1           5138  53.2650  77.9470
 2014-11-17T09:23:34                       Darks00021  Blocked   Narrow 1024 512   0      280     20           5188  53.2650  77.9470
 2014-11-17T09:23:46                       Darks00022  Blocked   Narrow 1024 512   0      280     20           5213  53.2650  77.9470
 2014-11-17T09:23:58                       Darks00023  Blocked   Narrow 1024 512   0      280     20           5202  53.2690  77.9450
 2014-11-17T09:24:09                       Darks00024  Blocked   Narrow 1024 512   0      280     20           5193  53.2690  77.9450
 2014-11-17T09:24:21                       Darks00025  Blocked   Narrow 1024 512   0      280     20           5184  53.2690  77.9450
 2014-11-17T09:24:33                       Darks00026  Blocked   Narrow 1024 512   0      280     20           5174  53.2690  77.9450
 2014-11-17T09:24:45                       Darks00027  Blocked   Narrow 1024 512   0      280     20           5164  53.2690  77.9450
 2014-11-17T09:24:57                       Darks00028  Blocked   Narrow 1024 512   0      280     20           5153  53.2650  77.9420
 2014-11-17T09:25:08                       Darks00029  Blocked   Narrow 1024 512   0      280     20           5143  53.2650  77.9420
 2014-11-17T09:25:20                       Darks00030  Blocked   Narrow 1024 512   0      280     20           5138  53.2650  77.9420
