           TimeStamp                         FileName   Filter   Camera   Nx  Ny  Nz   Int/ms  Coadd CountsPerCoadd  Temp1/K  Temp2/K
 2014-11-19T22:51:55                        test00001  Blocked   Narrow 1024 512   0      280      1           5775  53.2500  77.8890
 2014-11-19T23:40:44                 WidecamMsky00001    MKOM'     Wide 1024 512   0      280      1          41073  53.2130  77.8970
 2014-11-19T23:40:45                 WidecamMsky00002    MKOM'     Wide 1024 512   0      280      1          41208  53.2130  77.8970
 2014-11-19T23:40:46                 WidecamMsky00003    MKOM'     Wide 1024 512   0      280      1          41254  53.2130  77.8970
 2014-11-19T23:40:47                 WidecamMsky00004    MKOM'     Wide 1024 512   0      280      1          41297  53.2130  77.8970
 2014-11-19T23:40:48                 WidecamMsky00005    MKOM'     Wide 1024 512   0      280      1          41309  53.2130  77.8970
 2014-11-19T23:40:49                 WidecamMsky00006    MKOM'     Wide 1024 512   0      280      1          41513  53.2130  77.8970
 2014-11-19T23:40:50                 WidecamMsky00007    MKOM'     Wide 1024 512   0      280      1          41554  53.2130  77.8970
 2014-11-19T23:40:51                 WidecamMsky00008    MKOM'     Wide 1024 512   0      280      1          41319  53.2130  77.8970
 2014-11-19T23:40:52                 WidecamMsky00009    MKOM'     Wide 1024 512   0      280      1          41195  53.2130  77.8970
 2014-11-19T23:40:53                 WidecamMsky00010    MKOM'     Wide 1024 512   0      280      1          41285  53.2130  77.8970
 2014-11-19T23:45:18                 WidecamLsky00001    MKOL'     Wide 1024 512   0      280      1          29057  53.2070  77.9010
 2014-11-19T23:45:19                 WidecamLsky00002    MKOL'     Wide 1024 512   0      280      1          29244  53.2070  77.9010
 2014-11-19T23:45:20                 WidecamLsky00003    MKOL'     Wide 1024 512   0      280      1          29379  53.2070  77.9010
 2014-11-19T23:45:21                 WidecamLsky00004    MKOL'     Wide 1024 512   0      280      1          29258  53.2070  77.9010
 2014-11-19T23:45:22                 WidecamLsky00005    MKOL'     Wide 1024 512   0      280      1          29467  53.2070  77.9010
 2014-11-19T23:45:23                 WidecamLsky00006    MKOL'     Wide 1024 512   0      280      1          29501  53.2070  77.9010
 2014-11-19T23:45:24                 WidecamLsky00007    MKOL'     Wide 1024 512   0      280      1          29572  53.2070  77.9010
 2014-11-19T23:45:25                 WidecamLsky00008    MKOL'     Wide 1024 512   0      280      1          29982  53.2070  77.9010
 2014-11-19T23:45:26                 WidecamLsky00009    MKOL'     Wide 1024 512   0      280      1          30133  53.2070  77.9010
 2014-11-19T23:45:27                 WidecamLsky00010    MKOL'     Wide 1024 512   0      280      1          30070  53.2070  77.9010
 2014-11-19T23:52:52                 WidecamMsky00011    MKOM'     Wide 1024 512   0      280      1          40365  53.2030  77.8990
 2014-11-19T23:52:53                 WidecamMsky00012    MKOM'     Wide 1024 512   0      280      1          40466  53.2030  77.8990
 2014-11-19T23:52:55                 WidecamMsky00014    MKOM'     Wide 1024 512   0      280      1          40473  53.2030  77.8990
 2014-11-19T23:52:54                 WidecamMsky00013    MKOM'     Wide 1024 512   0      280      1          40490  53.2030  77.8990
 2014-11-19T23:52:56                 WidecamMsky00015    MKOM'     Wide 1024 512   0      280      1          40483  53.2030  77.8990
 2014-11-19T23:52:57                 WidecamMsky00016    MKOM'     Wide 1024 512   0      280      1          40490  53.2030  77.8990
 2014-11-19T23:52:58                 WidecamMsky00017    MKOM'     Wide 1024 512   0      280      1          40482  53.2030  77.8990
 2014-11-19T23:52:59                 WidecamMsky00018    MKOM'     Wide 1024 512   0      280      1          40489  53.2030  77.8990
 2014-11-19T23:53:00                 WidecamMsky00019    MKOM'     Wide 1024 512   0      280      1          40471  53.2030  77.8990
 2014-11-19T23:53:01                 WidecamMsky00020    MKOM'     Wide 1024 512   0      280      1          40483  53.2030  77.8990
 2014-11-19T23:56:56                 WidecamLsky00011    MKOL'     Wide 1024 512   0      280      1          28411  53.2520  77.8710
 2014-11-19T23:56:57                 WidecamLsky00012    MKOL'     Wide 1024 512   0      280      1          28474  53.2520  77.8710
 2014-11-19T23:56:58                 WidecamLsky00013    MKOL'     Wide 1024 512   0      280      1          28497  53.2520  77.8710
 2014-11-19T23:56:59                 WidecamLsky00014    MKOL'     Wide 1024 512   0      280      1          28511  53.2520  77.8710
 2014-11-19T23:57:00                 WidecamLsky00015    MKOL'     Wide 1024 512   0      280      1          28505  53.2520  77.8710
 2014-11-19T23:57:01                 WidecamLsky00016    MKOL'     Wide 1024 512   0      280      1          28519  53.2520  77.8710
 2014-11-19T23:57:02                 WidecamLsky00017    MKOL'     Wide 1024 512   0      280      1          28522  53.2520  77.8710
 2014-11-19T23:57:03                 WidecamLsky00018    MKOL'     Wide 1024 512   0      280      1          28529  53.2520  77.8710
 2014-11-19T23:57:04                 WidecamLsky00019    MKOL'     Wide 1024 512   0      280      1          28510  53.2520  77.8710
 2014-11-19T23:57:05                 WidecamLsky00020    MKOL'     Wide 1024 512   0      280      1          28485  53.2520  77.8710
 2014-11-20T03:18:26                   Linearity00001    3.3um     Wide  400 200   0       43      1           7211  53.1630  77.8380
 2014-11-20T03:18:27                   Linearity00003    3.3um     Wide  400 200   0       43      1           7230  53.1630  77.8380
 2014-11-20T03:18:27                   Linearity00002    3.3um     Wide  400 200   0       43      1           7221  53.1630  77.8380
 2014-11-20T03:18:27                   Linearity00004    3.3um     Wide  400 200   0       43      1           7235  53.1630  77.8380
 2014-11-20T03:18:28                   Linearity00005    3.3um     Wide  400 200   0       43      1           7241  53.1630  77.8380
 2014-11-20T03:18:31                   Linearity00006    3.3um     Wide  400 200   0      100      1           9261  53.1630  77.8380
 2014-11-20T03:18:32                   Linearity00007    3.3um     Wide  400 200   0      100      1           9271        0        0
 2014-11-20T03:18:32                   Linearity00008    3.3um     Wide  400 200   0      100      1           9279        0        0
 2014-11-20T03:18:33                   Linearity00010    3.3um     Wide  400 200   0      100      1           9290  53.1630  77.8380
 2014-11-20T03:18:33                   Linearity00009    3.3um     Wide  400 200   0      100      1           9286        0        0
 2014-11-20T03:18:36                   Linearity00011    3.3um     Wide  400 200   0      200      1          13359  53.1630  77.8380
 2014-11-20T03:18:37                   Linearity00012    3.3um     Wide  400 200   0      200      1          13374  53.1630  77.8380
 2014-11-20T03:18:37                   Linearity00013    3.3um     Wide  400 200   0      200      1          13367  53.1630  77.8380
 2014-11-20T03:18:38                   Linearity00014    3.3um     Wide  400 200   0      200      1          13378  53.1630  77.8380
 2014-11-20T03:18:38                   Linearity00015    3.3um     Wide  400 200   0      200      1          13382  53.1630  77.8380
 2014-11-20T03:18:42                   Linearity00017    3.3um     Wide  400 200   0      300      1          17819  53.1630  77.8380
 2014-11-20T03:18:42                   Linearity00016    3.3um     Wide  400 200   0      300      1          17793  53.1630  77.8380
 2014-11-20T03:18:43                   Linearity00018    3.3um     Wide  400 200   0      300      1          17831  53.1630  77.8380
 2014-11-20T03:18:44                   Linearity00020    3.3um     Wide  400 200   0      300      1          17820  53.1630  77.8380
 2014-11-20T03:18:44                   Linearity00019    3.3um     Wide  400 200   0      300      1          17813  53.1630  77.8380
 2014-11-20T03:18:48                   Linearity00021    3.3um     Wide  400 200   0      400      1          21953  53.1630  77.8380
 2014-11-20T03:18:49                   Linearity00023    3.3um     Wide  400 200   0      400      1          21961  53.1630  77.8380
 2014-11-20T03:18:49                   Linearity00022    3.3um     Wide  400 200   0      400      1          21959  53.1630  77.8380
 2014-11-20T03:18:50                   Linearity00024    3.3um     Wide  400 200   0      400      1          21968  53.1630  77.8380
 2014-11-20T03:18:51                   Linearity00025    3.3um     Wide  400 200   0      400      1          21969  53.1630  77.8380
 2014-11-20T03:18:54                   Linearity00026    3.3um     Wide  400 200   0      500      1          25431  53.1630  77.8380
 2014-11-20T03:18:55                   Linearity00027    3.3um     Wide  400 200   0      500      1          25437  53.1630  77.8380
 2014-11-20T03:18:56                   Linearity00028    3.3um     Wide  400 200   0      500      1          25446  53.1630  77.8380
 2014-11-20T03:18:57                   Linearity00030    3.3um     Wide  400 200   0      500      1          25469  53.1630  77.8380
 2014-11-20T03:18:57                   Linearity00029    3.3um     Wide  400 200   0      500      1          25485  53.1630  77.8380
 2014-11-20T03:19:01                   Linearity00031    3.3um     Wide  400 200   0      750      1          34826  53.1630  77.8380
 2014-11-20T03:19:02                   Linearity00032    3.3um     Wide  400 200   0      750      1          34889  53.1630  77.8380
 2014-11-20T03:19:03                   Linearity00033    3.3um     Wide  400 200   0      750      1          34866  53.1630  77.8380
 2014-11-20T03:19:04                   Linearity00034    3.3um     Wide  400 200   0      750      1          34842  53.1630  77.8380
 2014-11-20T03:19:06                   Linearity00035    3.3um     Wide  400 200   0      750      1          34899  53.1630  77.8380
 2014-11-20T03:19:10                   Linearity00036    3.3um     Wide  400 200   0     1000      1          43212  53.1630  77.8380
 2014-11-20T03:19:11                   Linearity00037    3.3um     Wide  400 200   0     1000      1          43292  53.1630  77.8380
 2014-11-20T03:19:12                   Linearity00038    3.3um     Wide  400 200   0     1000      1          43287  53.1630  77.8380
 2014-11-20T03:19:14                   Linearity00039    3.3um     Wide  400 200   0     1000      1          43308  53.1630  77.8380
 2014-11-20T03:19:15                   Linearity00040    3.3um     Wide  400 200   0     1000      1          43270  53.1630  77.8380
 2014-11-20T03:19:20                   Linearity00041    3.3um     Wide  400 200   0     1500      1          49039  53.1630  77.8380
 2014-11-20T03:19:21                   Linearity00042    3.3um     Wide  400 200   0     1500      1          49032  53.1630  77.8380
 2014-11-20T03:19:23                   Linearity00043    3.3um     Wide  400 200   0     1500      1          49020  53.1630  77.8380
 2014-11-20T03:19:25                   Linearity00044    3.3um     Wide  400 200   0     1500      1          49032  53.1630  77.8380
 2014-11-20T03:19:27                   Linearity00045    3.3um     Wide  400 200   0     1500      1          49041  53.1630  77.8380
 2014-11-20T03:19:32                   Linearity00046    3.3um     Wide  400 200   0     2000      1          49922  53.1630  77.8380
 2014-11-20T03:19:34                   Linearity00047    3.3um     Wide  400 200   0     2000      1          49921  53.1630  77.8390
 2014-11-20T03:19:37                   Linearity00048    3.3um     Wide  400 200   0     2000      1          49927  53.1630  77.8390
 2014-11-20T03:19:39                   Linearity00049    3.3um     Wide  400 200   0     2000      1          49938  53.1630  77.8390
 2014-11-20T03:19:41                   Linearity00050    3.3um     Wide  400 200   0     2000      1          49945  53.1630  77.8390
 2014-11-20T03:19:47                   Linearity00051    3.3um     Wide  400 200   0     2500      1          50702  53.1630  77.8390
 2014-11-20T03:19:50                   Linearity00052    3.3um     Wide  400 200   0     2500      1          50732  53.1630  77.8390
 2014-11-20T03:19:52                   Linearity00053    3.3um     Wide  400 200   0     2500      1          50731  53.1630  77.8390
 2014-11-20T03:19:55                   Linearity00054    3.3um     Wide  400 200   0     2500      1          50763  53.1630  77.8390
 2014-11-20T03:19:58                   Linearity00055    3.3um     Wide  400 200   0     2500      1          50691  53.1630  77.8390
 2014-11-20T03:20:04                   Linearity00056    3.3um     Wide  400 200   0     3000      1          51266  53.1630  77.8390
 2014-11-20T03:20:07                   Linearity00057    3.3um     Wide  400 200   0     3000      1          51265  53.1630  77.8390
 2014-11-20T03:20:11                   Linearity00058    3.3um     Wide  400 200   0     3000      1          51270  53.1630  77.8390
 2014-11-20T03:20:14                   Linearity00059    3.3um     Wide  400 200   0     3000      1          51309  53.1630  77.8390
 2014-11-20T03:20:17                   Linearity00060    3.3um     Wide  400 200   0     3000      1          51265  53.1630  77.8390
