           TimeStamp                         FileName   Filter   Camera   Nx  Ny  Nz   Int/ms  Coadd CountsPerCoadd  Temp1/K  Temp2/K
 2014-11-12T22:39:45                        test00001  Blocked   Narrow 1024 512   0      280      1           5850  53.2550  77.9100
 2014-11-12T23:26:17                      FlatKs00001       Ks   Narrow 1024 512   0   120000      1          11744  53.2270  77.9190
 2014-11-12T23:28:17                      FlatKs00002       Ks   Narrow 1024 512   0   120000      1          10345  53.2260  77.9200
 2014-11-12T23:30:18                      FlatKs00003       Ks   Narrow 1024 512   0   120000      1           9207  53.2220  77.9200
 2014-11-12T23:32:19                      FlatKs00004       Ks   Narrow 1024 512   0   120000      1           8321  53.2220  77.9220
 2014-11-12T23:34:19                      FlatKs00005       Ks   Narrow 1024 512   0   120000      1           7745  53.2220  77.9220
 2014-11-13T00:25:46                        test00002       Ks   Narrow 1024 512   0      280      1           5486  53.1580  77.9850
 2014-11-13T10:12:15                       Darks00001  Blocked   Narrow  400 200 100       43      1           6450        0        0
 2014-11-13T10:12:26                       Darks00002  Blocked   Narrow  400 200 100       43      1           6477  53.3260  77.8780
 2014-11-13T10:12:37                       Darks00003  Blocked   Narrow  400 200 100       43      1           6459  53.3260  77.8780
 2014-11-13T10:12:48                       Darks00004  Blocked   Narrow  400 200 100       43      1           6442  53.3260  77.8780
 2014-11-13T10:12:59                       Darks00005  Blocked   Narrow  400 200 100       43      1           6425  53.3260  77.8780
 2014-11-13T10:13:09                       Darks00006  Blocked   Narrow  400 200 100       43      1           6411  53.3260  77.8780
 2014-11-13T10:13:20                       Darks00007  Blocked   Narrow  400 200 100       43      1           6396  53.3240  77.8790
 2014-11-13T10:13:31                       Darks00008  Blocked   Narrow  400 200 100       43      1           6383  53.3240  77.8790
 2014-11-13T10:13:42                       Darks00009  Blocked   Narrow  400 200 100       43      1           6370  53.3240  77.8790
 2014-11-13T10:13:52                       Darks00010  Blocked   Narrow  400 200 100       43      1           6357  53.3240  77.8790
