           TimeStamp                         FileName   Filter   Camera   Nx  Ny  Nz   Int/ms  Coadd CountsPerCoadd    Temp1/K  Temp2/K
 2014-11-09T22:42:43                        test00001  Blocked   Narrow 1024 512   0      280      1           5974  53.3280  78.0330
 2014-11-10T07:36:52                        test00002       Ks   Narrow 1024 512   0      280      1           6037  53.3190  77.9400
 2014-11-10T07:52:15                        test00003       Ks   Narrow 1024 512   0      280      1           6065  53.3240  77.9320
 2014-11-10T09:31:37                       Darks00001  Blocked   Narrow 1024 300   0      164      1           4993  53.2610  78.0570
 2014-11-10T09:31:37                       Darks00002  Blocked   Narrow 1024 300   0      164      1           5011  53.2610  78.0570
 2014-11-10T09:31:38                       Darks00003  Blocked   Narrow 1024 300   0      164      1           5032  53.2610  78.0570
 2014-11-10T09:31:39                       Darks00004  Blocked   Narrow 1024 300   0      164      1           5051  53.2610  78.0570
 2014-11-10T09:31:39                       Darks00005  Blocked   Narrow 1024 300   0      164      1           5064  53.2610  78.0570
 2014-11-10T09:31:40                       Darks00006  Blocked   Narrow 1024 300   0      164      1           5076  53.2610  78.0570
 2014-11-10T09:31:41                       Darks00007  Blocked   Narrow 1024 300   0      164      1           5084  53.2610  78.0570
 2014-11-10T09:31:41                       Darks00008  Blocked   Narrow 1024 300   0      164      1           5088  53.2610  78.0570
 2014-11-10T09:31:42                       Darks00009  Blocked   Narrow 1024 300   0      164      1           5094  53.2610  78.0570
 2014-11-10T09:31:43                       Darks00010  Blocked   Narrow 1024 300   0      164      1           5099  53.2610  78.0570
 2014-11-10T09:32:27                       Darks00011  Blocked   Narrow 1024 300 100      164      1           5199  53.2610  78.0570
 2014-11-10T09:33:03                       Darks00012  Blocked   Narrow 1024 300 100      164      1           5167  53.2620  78.0540
 2014-11-10T09:33:39                       Darks00013  Blocked   Narrow 1024 300 100      164      1           5136  53.2650  78.0480
 2014-11-10T09:34:16                       Darks00014  Blocked   Narrow 1024 300 100      164      1           5113  53.2650  78.0480
 2014-11-10T09:34:53                       Darks00015  Blocked   Narrow 1024 300 100      164      1           5094  53.2660  78.0410
 2014-11-10T09:35:29                       Darks00016  Blocked   Narrow 1024 300 100      164      1           5077  53.2660  78.0410
 2014-11-10T09:36:05                       Darks00017  Blocked   Narrow 1024 300 100      164      1           5061  53.2650  78.0380
 2014-11-10T09:36:42                       Darks00018  Blocked   Narrow 1024 300 100      164      1           5045  53.2660  78.0330
 2014-11-10T09:37:18                       Darks00019  Blocked   Narrow 1024 300 100      164      1           5029  53.2660  78.0330
 2014-11-10T09:37:54                       Darks00020  Blocked   Narrow 1024 300 100      164      1           5013  53.2670  78.0300
 2014-11-10T09:38:06                       Darks00021  Blocked   Narrow 1024 512   0      280      1           4869  53.2670  78.0300
 2014-11-10T09:38:06                       Darks00022  Blocked   Narrow 1024 512   0      280      1           4886  53.2670  78.0300
 2014-11-10T09:38:07                       Darks00023  Blocked   Narrow 1024 512   0      280      1           4914  53.2670  78.0300
 2014-11-10T09:38:08                       Darks00024  Blocked   Narrow 1024 512   0      280      1           4934  53.2670  78.0300
 2014-11-10T09:38:09                       Darks00025  Blocked   Narrow 1024 512   0      280      1           4948  53.2670  78.0300
 2014-11-10T09:38:10                       Darks00026  Blocked   Narrow 1024 512   0      280      1           4959  53.2670  78.0300
 2014-11-10T09:38:11                       Darks00027  Blocked   Narrow 1024 512   0      280      1           4965  53.2670  78.0300
 2014-11-10T09:38:12                       Darks00028  Blocked   Narrow 1024 512   0      280      1           4969  53.2670  78.0300
 2014-11-10T09:38:13                       Darks00029  Blocked   Narrow 1024 512   0      280      1           4975  53.2670  78.0300
 2014-11-10T09:38:14                       Darks00030  Blocked   Narrow 1024 512   0      280      1           4976  53.2670  78.0300
 2014-11-10T09:38:25                       Darks00031  Blocked   Narrow 1024 512   0      280      4           4928  53.2670  78.0300
 2014-11-10T09:38:28                       Darks00032  Blocked   Narrow 1024 512   0      280      4           5007  53.2670  78.0300
 2014-11-10T09:38:31                       Darks00033  Blocked   Narrow 1024 512   0      280      4           5035  53.2670  78.0300
 2014-11-10T09:38:33                       Darks00034  Blocked   Narrow 1024 512   0      280      4           5045  53.2670  78.0300
 2014-11-10T09:38:36                       Darks00035  Blocked   Narrow 1024 512   0      280      4           5048  53.2670  78.0300
 2014-11-10T09:38:39                       Darks00036  Blocked   Narrow 1024 512   0      280      4           5048  53.2640  78.0290
 2014-11-10T09:38:42                       Darks00037  Blocked   Narrow 1024 512   0      280      4           5040  53.2640  78.0290
 2014-11-10T09:38:44                       Darks00038  Blocked   Narrow 1024 512   0      280      4           5044  53.2640  78.0290
 2014-11-10T09:38:47                       Darks00039  Blocked   Narrow 1024 512   0      280      4           5041  53.2640  78.0290
 2014-11-10T09:38:50                       Darks00040  Blocked   Narrow 1024 512   0      280      4           5042  53.2640  78.0290
 2014-11-10T09:39:05                       Darks00041  Blocked   Narrow 1024 512   0      280     10           4992  53.2640  78.0290
 2014-11-10T09:39:11                       Darks00042  Blocked   Narrow 1024 512   0      280     10           5061  53.2640  78.0290
 2014-11-10T09:39:17                       Darks00043  Blocked   Narrow 1024 512   0      280     10           5063  53.2640  78.0290
 2014-11-10T09:39:23                       Darks00044  Blocked   Narrow 1024 512   0      280     10           5059  53.2640  78.0290
 2014-11-10T09:39:29                       Darks00045  Blocked   Narrow 1024 512   0      280     10           5055  53.2640  78.0290
 2014-11-10T09:39:36                       Darks00046  Blocked   Narrow 1024 512   0      280     10           5051  53.2640  78.0290
 2014-11-10T09:39:42                       Darks00047  Blocked   Narrow 1024 512   0      280     10           5048  53.2660  78.0260
 2014-11-10T09:39:48                       Darks00048  Blocked   Narrow 1024 512   0      280     10           5044  53.2660  78.0260
 2014-11-10T09:39:54                       Darks00049  Blocked   Narrow 1024 512   0      280     10           5041  53.2660  78.0260
 2014-11-10T09:40:00                       Darks00050  Blocked   Narrow 1024 512   0      280     10           5038  53.2660  78.0260
