           TimeStamp                         FileName   Filter   Camera   Nx  Ny  Nz   Int/ms  Coadd CountsPerCoadd    Temp1/K  Temp2/K
 2014-11-10T22:43:35                        test00002  Blocked   Narrow 1024 512   0      280      1           6089  53.3420  77.9480
 2014-11-10T22:44:46                        test00003  Blocked   Narrow 1024 512   2     1000      1           6089  53.3420  77.9480
 2014-11-10T22:47:45                        test00004  Blocked   Narrow  400 200   2      600      1           6375  53.3420  77.9480
 2014-11-10T23:04:17                       FlatL00001    MKOL'   Narrow 1024 512   1      280      1          14628  53.3280  77.9550
 2014-11-10T23:04:18                       FlatL00003    MKOL'   Narrow 1024 512   1      280      1          14702  53.3280  77.9550
 2014-11-10T23:04:17                       FlatL00002    MKOL'   Narrow 1024 512   1      280      1          14673  53.3280  77.9550
 2014-11-10T23:04:19                       FlatL00004    MKOL'   Narrow 1024 512   1      280      1          14718  53.3280  77.9550
 2014-11-10T23:04:20                       FlatL00005    MKOL'   Narrow 1024 512   1      280      1          14725  53.3280  77.9550
 2014-11-10T23:04:21                       FlatL00006    MKOL'   Narrow 1024 512   1      280      1          14732  53.3280  77.9550
 2014-11-10T23:04:22                       FlatL00007    MKOL'   Narrow 1024 512   1      280      1          14737  53.3280  77.9550
 2014-11-10T23:04:23                       FlatL00008    MKOL'   Narrow 1024 512   1      280      1          14739  53.3280  77.9550
 2014-11-10T23:04:24                       FlatL00009    MKOL'   Narrow 1024 512   1      280      1          14738  53.3280  77.9550
 2014-11-10T23:04:25                       FlatL00010    MKOL'   Narrow 1024 512   1      280      1          14739  53.3280  77.9550
 2014-11-10T23:04:26                       FlatL00011    MKOL'   Narrow 1024 512   1      280      1          14735  53.3280  77.9550
 2014-11-10T23:04:27                       FlatL00012    MKOL'   Narrow 1024 512   1      280      1          14736  53.3280  77.9550
 2014-11-10T23:04:28                       FlatL00013    MKOL'   Narrow 1024 512   1      280      1          14735  53.3280  77.9550
 2014-11-10T23:04:29                       FlatL00014    MKOL'   Narrow 1024 512   1      280      1          14733  53.3280  77.9550
