           TimeStamp                         FileName   Filter   Camera   Nx  Ny  Nz   Int/ms  Coadd CountsPerCoadd  Temp1/K  Temp2/K
 2014-11-18T22:47:59                        test00001        J   Narrow 1024 512   1      280      1           5605  53.2390  77.9510
 2014-11-19T09:26:28                       Darks00001  Blocked   Narrow  108  54  50        3      1           5554  53.3790  77.8380
 2014-11-19T09:26:29                       Darks00002  Blocked   Narrow  108  54  50        3      1           5600  53.3790  77.8380
 2014-11-19T09:26:31                       Darks00003  Blocked   Narrow  108  54  50        3      1           5626  53.3790  77.8380
 2014-11-19T09:26:32                       Darks00004  Blocked   Narrow  108  54  50        3      1           5640  53.3790  77.8380
 2014-11-19T09:26:34                       Darks00005  Blocked   Narrow  108  54  50        3      1           5648  53.3790  77.8380
 2014-11-19T09:26:35                       Darks00006  Blocked   Narrow  108  54  50        3      1           5653  53.3790  77.8380
 2014-11-19T09:26:37                       Darks00007  Blocked   Narrow  108  54  50        3      1           5655  53.3790  77.8380
 2014-11-19T09:26:38                       Darks00008  Blocked   Narrow  108  54  50        3      1           5657  53.3790  77.8380
 2014-11-19T09:26:39                       Darks00009  Blocked   Narrow  108  54  50        3      1           5656  53.3790  77.8380
 2014-11-19T09:26:41                       Darks00010  Blocked   Narrow  108  54  50        3      1           5657  53.3790  77.8380
 2014-11-19T09:26:52                       Darks00011  Blocked   Narrow  400 200   5       43      1           5469  53.3790  77.8380
 2014-11-19T09:26:53                       Darks00012  Blocked   Narrow  400 200   5       43      1           5512  53.3790  77.8380
 2014-11-19T09:26:53                       Darks00013  Blocked   Narrow  400 200   5       43      1           5543  53.3790  77.8380
 2014-11-19T09:26:54                       Darks00014  Blocked   Narrow  400 200   5       43      1           5566        0        0
 2014-11-19T09:26:55                       Darks00015  Blocked   Narrow  400 200   5       43      1           5580  53.2990  77.8680
 2014-11-19T09:26:56                       Darks00016  Blocked   Narrow  400 200   5       43      1           5591  53.2990  77.8680
 2014-11-19T09:26:56                       Darks00017  Blocked   Narrow  400 200   5       43      1           5601  53.2990  77.8680
 2014-11-19T09:26:57                       Darks00018  Blocked   Narrow  400 200   5       43      1           5606  53.2990  77.8680
 2014-11-19T09:26:58                       Darks00019  Blocked   Narrow  400 200   5       43      1           5611  53.2990  77.8680
 2014-11-19T09:26:59                       Darks00020  Blocked   Narrow  400 200   5       43      1           5615  53.2990  77.8680
 2014-11-19T09:27:09                       Darks00021  Blocked   Narrow 1024 512   1      280      1           5177  53.2990  77.8680
 2014-11-19T09:27:10                       Darks00022  Blocked   Narrow 1024 512   1      280      1           5218  53.2990  77.8680
 2014-11-19T09:27:11                       Darks00023  Blocked   Narrow 1024 512   1      280      1           5247  53.2990  77.8680
 2014-11-19T09:27:12                       Darks00024  Blocked   Narrow 1024 512   1      280      1           5266  53.2990  77.8680
 2014-11-19T09:27:13                       Darks00025  Blocked   Narrow 1024 512   1      280      1           5276  53.2990  77.8680
 2014-11-19T09:27:14                       Darks00026  Blocked   Narrow 1024 512   1      280      1           5286  53.2990  77.8680
 2014-11-19T09:27:15                       Darks00027  Blocked   Narrow 1024 512   1      280      1           5291  53.2990  77.8680
 2014-11-19T09:27:16                       Darks00028  Blocked   Narrow 1024 512   1      280      1           5298  53.2990  77.8680
 2014-11-19T09:27:17                       Darks00029  Blocked   Narrow 1024 512   1      280      1           5299  53.2990  77.8680
 2014-11-19T09:27:18                       Darks00030  Blocked   Narrow 1024 512   1      280      1           5301  53.2990  77.8680
 2014-11-19T20:27:49                       Darks00031  Blocked   Narrow 1024 512  20      750      1           6672  53.4990  77.8610
 2014-11-19T20:28:10                       Darks00032  Blocked   Narrow 1024 512  20      750      1           6655  53.4990  77.8610
 2014-11-19T20:28:32                       Darks00033  Blocked   Narrow 1024 512  20      750      1           6631  53.4990  77.8620
 2014-11-19T20:28:53                       Darks00034  Blocked   Narrow 1024 512  20      750      1           6609  53.4990  77.8620
 2014-11-19T20:29:15                       Darks00035  Blocked   Narrow 1024 512  20      750      1           6587        0        0
 2014-11-19T20:29:36                       Darks00036  Blocked   Narrow 1024 512  20      750      1           6566  53.4970  77.8630
 2014-11-19T20:29:57                       Darks00037  Blocked   Narrow 1024 512  20      750      1           6548  53.4970  77.8630
 2014-11-19T20:30:19                       Darks00038  Blocked   Narrow 1024 512  20      750      1           6531  53.4930  77.8640
 2014-11-19T20:30:40                       Darks00039  Blocked   Narrow 1024 512  20      750      1           6516  53.4930  77.8640
 2014-11-19T20:31:02                       Darks00040  Blocked   Narrow 1024 512  20      750      1           6500  53.4930  77.8640
